79    	10	6.0	mu	centos	openstack-nova-compute	2014.2-fuel6.0.mira20	openstack-nova-compute-2014.2-fuel6.0.mira20.noarch.rpm
80    	10	6.0	mu	centos	openstack-nova-conductor	2014.2-fuel6.0.mira20	openstack-nova-conductor-2014.2-fuel6.0.mira20.noarch.rpm
81    	10	6.0	mu	centos	openstack-nova-console	2014.2-fuel6.0.mira20	openstack-nova-console-2014.2-fuel6.0.mira20.noarch.rpm
82    	10	6.0	mu	centos	openstack-nova-doc	2014.2-fuel6.0.mira20	openstack-nova-doc-2014.2-fuel6.0.mira20.noarch.rpm
83    	10	6.0	mu	centos	openstack-nova-network	2014.2-fuel6.0.mira20	openstack-nova-network-2014.2-fuel6.0.mira20.noarch.rpm
84    	10	6.0	mu	centos	openstack-nova-novncproxy	2014.2-fuel6.0.mira20	openstack-nova-novncproxy-2014.2-fuel6.0.mira20.noarch.rpm
85    	10	6.0	mu	centos	openstack-nova-objectstore	2014.2-fuel6.0.mira20	openstack-nova-objectstore-2014.2-fuel6.0.mira20.noarch.rpm
86    	10	6.0	mu	centos	openstack-nova-scheduler	2014.2-fuel6.0.mira20	openstack-nova-scheduler-2014.2-fuel6.0.mira20.noarch.rpm
87    	10	6.0	mu	ubuntu	python-nova	2014.2-fuel6.0~mira20	python-nova_2014.2-fuel6.0~mira20_all.deb
88    	10	6.0	mu	centos	python-nova	2014.2-fuel6.0.mira20	python-nova-2014.2-fuel6.0.mira20.noarch.rpm
89    	112	6.0	mu	ubuntu	ceilometer-agent-central	2014.2-fuel6.0~mira18	ceilometer-agent-central_2014.2-fuel6.0~mira18_all.deb
90    	112	6.0	mu	ubuntu	ceilometer-agent-central	2014.2-fuel6.0~mira20	ceilometer-agent-central_2014.2-fuel6.0~mira20_all.deb
91    	112	6.0	mu	ubuntu	ceilometer-agent-compute	2014.2-fuel6.0~mira18	ceilometer-agent-compute_2014.2-fuel6.0~mira18_all.deb
92    	112	6.0	mu	ubuntu	ceilometer-agent-compute	2014.2-fuel6.0~mira20	ceilometer-agent-compute_2014.2-fuel6.0~mira20_all.deb
93    	112	6.0	mu	ubuntu	ceilometer-agent-notification	2014.2-fuel6.0~mira18	ceilometer-agent-notification_2014.2-fuel6.0~mira18_all.deb
94    	112	6.0	mu	ubuntu	ceilometer-agent-notification	2014.2-fuel6.0~mira20	ceilometer-agent-notification_2014.2-fuel6.0~mira20_all.deb
95    	112	6.0	mu	ubuntu	ceilometer-alarm-evaluator	2014.2-fuel6.0~mira18	ceilometer-alarm-evaluator_2014.2-fuel6.0~mira18_all.deb
